משפחה,תאור מחסן,מחסן,כמות,מק'ט
67.0,מחסן ראשי,Main,7.0,67780553LPR
67.0,מחסן ראשי,Main,2.0,67780755LPR
67.0,מחסן פגומים,06,1.0,67781363LPR
67.0,מחסן ראשי,Main,0.0,67781365LPR
67.0,מחסן ראשי,Main,0.0,67781469LPR
67.0,מחסן ראשי,Main,0.0,67781471LPR
67.0,מחסן ראשי,Main,0.0,67800377LPR
67.0,מחסן ראשי,Main,4.0,67800379LPR
67.0,מחסן ראשי,Main,4.0,67800783LPR
67.0,מחסן ראשי,Main,0.0,67800785LPR
67.0,מחסן ראשי,Main,3.0,67800787LPR
67.0,מחסן ראשי,Main,2.0,67800889LPR
67.0,מחסן ראשי,Main,1.0,67800891LPR
67.0,מחסן ראשי,Main,7.0,67800893LPR
67.0,מחסן ראשי,Main,3.0,67800903LPR
67.0,מחסן ראשי,Main,0.0,67800997LPR
67.0,מחסן ראשי,Main,0.0,67800999LPR
67.0,מחסן ראשי,Main,0.0,67801205LPR
67.0,מחסן ראשי,Main,0.0,67801207LPR
67.0,מחסן ראשי,Main,12.0,67801511LPR
67.0,מחסן ראשי,Main,0.0,67801513LPR
67.0,מחסן ראשי,Main,1.0,67801515LPR
67.0,מחסן ראשי,Main,0.0,67801717LPR
67.0,מחסן ראשי,Main,2.0,67801719LPR
67.0,מחסן ראשי,Main,0.0,67801721LPR
67.0,מחסן ראשי,Main,8.0,67802129LPR
67.0,מחסן ראשי,Main,0.0,67820737LPR
67.0,מחסן ראשי,Main,0.0,67820739LPR
67.0,מחסן ראשי,Main,4.0,67820949LPR
67.0,מחסן ראשי,Main,1.0,67820951LPR
67.0,מחסן ראשי,Main,3.0,67821153LPR
67.0,מחסן ראשי,Main,13.0,67821257LPR
67.0,מחסן פגומים,06,1.0,67821259LPR
67.0,מחסן ראשי,Main,0.0,67821361LPR
67.0,מחסן ראשי,Main,0.0,67821363LPR
67.0,מחסן ראשי,Main,1.0,6785
67.0,מחסן ראשי,Main,2.0,67900969SUPERMA
67.0,מחסן ראשי,Main,9.0,67901942SUPERMA
67.0,מחסן ראשי,Main,1.0,67940171LPR
67.0,מחסן ראשי,Main,0.0,67940475LPR
67.0,מחסן ראשי,Main,0.0,67941081LPR
67.0,מחסן ראשי,Main,1.0,67941483LPR
67.0,מחסן ראשי,Main,0.0,67941487LPR
67.0,מחסן ראשי,Main,0.0,67941891LPR
67.0,מחסן ראשי,Main,5.0,67941900LPR
67.0,מחסן ראשי,Main,0.0,67941993LPR
67.0,מחסן ראשי,Main,0.0,67941995LPR
67.0,מחסן ראשי,Main,0.0,67942397LPR
67.0,מחסן ראשי,Main,0.0,67942499LPR
68.0,מחסן ראשי,Main,11.0,68040303YAS
68.0,מחסן פגומים,06,2.0,68041100SISMAK
68.0,מחסן ראשי,Main,16.0,68041100SISMAK
94.0,מחסן ראשי,Main,61.0,68149/11
68.0,מחסן ראשי,Main,18.0,68240101GSP
68.0,מחסן פגומים,06,10.0,68260509YAS
68.0,מחסן ראשי,Main,26.0,68260811YAS
68.0,מחסן ראשי,Main,26.0,68310508GSP
68.0,מחסן פגומים,06,10.0,68370300SISMAK
68.0,מחסן ראשי,Main,-1.0,68370402SISMAK
68.0,מחסן פגומים,06,10.0,68370402SISMAK
68.0,מחסן ראשי,Main,1.0,68371206YAS
