מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
32220202LPR,חיישן לרפידה אחורי דיסקוברי 02+ /ריינג רובר 13-05,KS0057,פעיל,10.000,0.000,0.000,0.000,4.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32220504LPR,חיישן לרפידה קדמי ריינג רובר 13-05 אורך 1185,KS0059,פעיל,10.000,0.000,0.000,0.000,4.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32220506LPR,חיישן לרפידה קדמי ריינג 0.5 13-09 אורך 1213,KS0205,פעיל,10.000,0.000,0.000,0.000,4.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480106LPR,חיישן לרפידה קד+אח מרצדס A קלאס מ 04 / C קלאס מ 00 / E קלאס,KS0062,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480108LPR,חיישן לרפידה קד+אח מרצדס A קלאס מ 12 / C קלאס מ 13,KS0241,פעיל,9.000,0.000,0.000,0.000,7.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480200LPR,חיישן לרפידה קדמי מרצדס C קלאס 08-01 אורך 100,KS0140,פעיל,10.000,0.000,0.000,0.000,4.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480201GSP,חיישן לרפידה מרצדס C קלאס 11+,KS0139,פעיל,9.000,0.000,0.000,0.000,5.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480202LPR,חיישן לרפידה קדמי + אחורי מרצדס C קלאס W203 08-01,KS0138,פעיל,6.000,0.000,0.000,0.000,4.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480204LPR,חיישן לרפידה קדמי מרצדס C קלאס E / 15-09 קלאס 06+,KS0063,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480810LPR,חיישן לרפידה קדמי ספרינטר 5 + 5.3 טון / קרפטר 06+,KS0072,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32480812LPR,חיישן לרפידה אח ספרינטר 5 טון 3.5 טון / קראפטר מ 06,KS0070,פעיל,10.000,0.000,0.000,0.000,8.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32780706LPR,חיישן לרפידה קדמי גולף 2.3 04-02 / אאודי TT 270-L,KS0005,פעיל,8.000,0.000,0.000,0.000,3.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32781000LPR,חיישן לרפידה קדמי טוארג 10+ / פורשה קאיין 11+ / פנרמה,KS0187,פעיל,8.000,0.000,0.000,0.000,4.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32781002LPR,חיישן לרפידה טוארג 10+ אורך 325,KS0144,פעיל,9.000,0.000,0.000,0.000,2.000,0.000,7.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32781004LPR,חיישן לרפידה טוארג 11+ / פורשה קאיין 11+ אורך 138,KS0188,פעיל,6.000,0.000,0.000,0.000,3.000,0.000,3.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32820900LPR,חיישן לרפידה קדמי טרנזיט 14+ אורך 312,KS0240,פעיל,9.000,0.000,0.000,0.000,3.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35020465LPR,ד.ב קד אאודי 17 A5/+15 A4+,05P2038,פעיל,0.000,0.000,0.000,0.000,11.000,0.000,-11.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35020504LPR,ד.ב אח Q5/A5/+12 A6/+08 A4,05P1826,פעיל,3.000,0.000,0.000,0.000,9.000,0.000,-6.00,0.00,.,,560552,2.00,0.00,0.00,יח',0.00,EUR
35020511LPR,ד.ב קד 00-07 A4 תקע אובלי+חשמל,05P979,פעיל,6.000,0.000,0.000,0.000,7.000,0.000,-1.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35020513LPR,ד.ב קד 06-10 A6/05-09 A4 תקע אובלי,05P1239,פעיל,0.000,0.000,0.000,0.000,9.000,0.000,-9.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35020515LPR,ד.ב קד 08 A5/+08 1.8 A4+,05P1391,פעיל,1.000,0.000,0.000,0.000,8.000,0.000,-7.00,0.00,.,,560552,0.00,0.00,0.00,יח',12.50,EUR
35020517LPR,ד.ב אח 09 A5/08+ Q5/+12 A6/+08 A4+,05P1489,פעיל,1.000,0.000,0.000,0.000,11.000,0.000,-10.00,0.00,.,,560552,0.00,0.00,0.00,יח',10.29,EUR
35020519LPR,ד.ב קד 08 Q5/+09 A5/+08 A4+,05P1420,פעיל,7.000,0.000,0.000,0.000,17.000,0.000,-10.00,0.00,.,,560552,0.00,0.00,3.00,יח',0.00,
35020520LPR,ד.ב קד 17 Q5/+17 A5/+16 A4+,05P2041,פעיל,0.000,0.000,0.000,0.000,15.000,0.000,-15.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35020525LPR,ד.ב קד R8/A5/A4,05P2214,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,,,,0.00,0.00,0.00,יח',0.00,
35020535LPR,ד.ב אח 16 Q7/+17 Q5/+16 A5/+16 A4+,05P2039,פעיל,1.000,0.000,0.000,0.000,16.000,0.000,-15.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35020540LPR,ד.ב קד 16 Q7/+17 A5/+16 A4+,05P2102,פעיל,10.000,0.000,0.000,0.000,18.000,0.000,-8.00,0.00,,,,1.00,1.00,1.00,יח',0.00,EUR
35020700LPR,ד.ב קד A6 נפח 2.0 2014+,05P2282A,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,,,,0.00,0.00,0.00,יח',0.00,
35020721LPR,ד.ב קד 97 A6+ חור מעוין/פאסאט חור מלבן,05P790,פעיל,1.000,0.000,0.000,0.000,5.000,0.000,-4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35020723MATEC,ד.ב קד 97 A6+ חור מעוין/פאסאט חור מלבן,FT081620,פעיל,23.000,0.000,0.000,0.000,7.000,0.000,16.00,0.00,.,,430552,1.00,0.00,0.00,יח',0.00,
35020725LPR,ד.ב קד A6 + A4 מנועי 2.7 קוטרו,05P1121,פעיל,8.000,0.000,0.000,0.000,7.000,0.000,1.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35020909LPR,ד.ב אח 13 A8+,05P2131,פעיל,3.000,0.000,0.000,0.000,4.000,0.000,-1.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35021027LPR,ד.ב קד 11 Q3+/אלהמברה 11+/טיגואן,05P1392,פעיל,2.000,0.000,0.000,0.000,10.000,0.000,-8.00,0.00,.,,560552,1.00,0.00,0.00,יח',0.00,
35021038LPR,ד.ב אח אוקטביה 15 A1/+15 Q3/+15+,05P1986,פעיל,6.000,0.000,0.000,0.000,21.000,0.000,-15.00,0.00,VV,,560552,0.00,5.00,0.00,יח',7.92,EUR
35021111LPR,ד.ב קד 12 Q5+,05P2118,פעיל,3.000,0.000,0.000,0.000,4.000,0.000,-1.00,1.00,,,,0.00,0.00,0.00,יח',11.00,EUR
35021115LPR,ד.ב קד אאודי Q5 מ 17+,05P2146,פעיל,1.000,0.000,0.000,0.000,10.000,0.000,-9.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35021127LPR,ד.ב קד 14-18 A7/+09 Q5,05P1804,פעיל,6.000,0.000,0.000,0.000,15.000,0.000,-9.00,2.00,.,,560552,1.00,1.00,0.00,יח',0.00,EUR
35021217LPR,ד.ב אח 06 Q7+/טוארג,05P1362,פעיל,1.000,0.000,0.000,0.000,8.000,0.000,-7.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35021801LPR,ד.ב קד אאודי 21+ Q4,05P2259A,פעיל,4.000,0.000,0.000,0.000,6.000,0.000,-2.00,0.00,,,,0.00,0.00,0.00,יח',18.40,EUR
35030129LPR,ד.ב קד איפון,05P544,פעיל,2.000,0.000,0.000,0.000,8.000,0.000,-6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,EUR
35030131MATEC,ד.ב קד איפון,FT036717,פעיל,0.000,0.000,0.000,0.000,15.000,0.000,-15.00,1.00,.,,430552,0.00,0.00,0.00,יח',4.46,$
35030233MATEC,ד.ב קד דימקס עד 07/גרייט וול/שברולט קולרדו 08-04,FT119916,פעיל,1.000,0.000,0.000,0.000,8.000,0.000,-7.00,1.00,VV,,430552,0.00,0.00,0.00,יח',6.06,$
35030235LPR,ד.ב קד דימקס עד 07/גרייט וול/שברולט קולרדו 08-04,05P1372,פעיל,6.000,0.000,0.000,0.000,17.000,0.000,-11.00,5.00,VV,,560552,0.00,5.00,0.00,יח',11.12,EUR
35030237LPR,ד.ב קד דימקס 08+ לא מכירה!!!,05P1630,פעיל,92.000,0.000,0.000,0.000,100.000,0.000,-8.00,0.00,VV,,560552,-3.00,10.00,0.00,יח',7.95,EUR
35030239MATEC,ד.ב קד דימקס 08+,FT144218,פעיל,6.000,0.000,100.000,0.000,14.000,0.000,92.00,0.00,VV,,430552,2.00,0.00,0.00,יח',5.29,$
35030341LPR,ד.ב אח טרופר/רודיאו/אופל פרונטרה,05P524,פעיל,0.000,0.000,0.000,0.000,15.000,0.000,-15.00,0.00,.,,560552,0.00,0.00,0.00,יח',6.09,EUR
