מס' ספק,תאריך ההזמנה,כמות,יתרה לאספקה,הזמנת רכש,מק'ט,תאור מוצר,סכום (שח),סטטוס הזמנה,סטטוס שורת הזמנת רכש
255001,20/08/2024,200,200,PO24000012,35371505MATEC,ד.ב קד קורולה 08+/יאריס ורסו ספייס 11+,3270.50,סגורה,עומד לבוא
255001,20/08/2024,200,200,PO24000012,35371515MATEC,ד.ב קד קורולה 19+,4360.67,סגורה,עומד לבוא
255001,20/08/2024,200,200,PO24000012,35390771MATEC,ד.ב קד I35/I25/וולוסטר/ריו 12 I30/+12+,3255.77,סגורה,עומד לבוא
255001,20/08/2024,200,200,PO24000012,35391726MATEC,ד.ב אח טוסון מ15+/אקסנט IX35/+07/ספורטאג 11+ עם חורים,2349.75,סגורה,עומד לבוא
255001,20/08/2024,200,200,PO24000012,35451528MATEC,ד.ב אח מזדה 6 13-14/אאוטלנדר 13+,2342.38,סגורה,עומד לבוא
255001,20/08/2024,200,200,PO24000012,35941437MATEC,ד.ב קד מגאן 09+/פלואנס/גרנד סניק 09+/קפצ'ור 13+/דאסטר,3336.79,סגורה,עומד לבוא
255001,20/08/2024,300,300,PO24000011,35391717MATEC,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,4927.85,סגורה,עומד לבוא
255001,20/08/2024,300,300,PO24000012,35391717MATEC,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,4927.85,סגורה,עומד לבוא
255001,20/08/2024,1000,1000,PO24000011,35780767MATEC,ד.ב אח גולף/בורה/פאסאט/פלואנס/סופרב/ראפיד/ארונה/סקאלה/C4/,11822.43,סגורה,עומד לבוא
255001,20/08/2024,1000,1000,PO24000012,35780767MATEC,ד.ב אח גולף/בורה/פאסאט/פלואנס/סופרב/ראפיד/ארונה/סקאלה/C4/,11822.43,סגורה,עומד לבוא
255001,02/10/2024,50,50,PO24000024,35370383MATEC,ד.ב קד אבנסיס 09+/ורסו 09+,943.25,אושרה,
255001,02/10/2024,50,50,PO24000024,35371593MATEC,ד.ב קד קורולה 03-07,773.46,אושרה,
255001,02/10/2024,50,50,PO24000024,35371595MATEC,ד.ב אח קורולה 03-07,575.38,אושרה,
255001,02/10/2024,50,50,PO24000024,35372910MATEC,ד.ב אח 16 CHR+/קורולה 19+,648.95,אושרה,
255001,02/10/2024,50,50,PO24000024,35391301MATEC,ד.ב קד אקסנט I20/+07/ריו 06-11,773.46,אושרה,
255001,02/10/2024,50,50,PO24000024,35450100MATEC,ד.ב קד 12 CX5+,865.90,אושרה,
255001,02/10/2024,50,50,PO24000024,35450101MATEC,ד.ב אח 12-15 CX5/מזדה 2 15+,648.95,אושרה,
255001,02/10/2024,50,50,PO24000024,35450110MATEC,ד.ב אח 15 CX5+,641.41,אושרה,
255001,02/10/2024,50,50,PO24000024,35451120MATEC,ד.ב קד מזדה 2 15+,771.57,אושרה,
255001,02/10/2024,50,50,PO24000024,35451208MATEC,ד.ב אח מזדה 3 13+,601.79,אושרה,
255001,02/10/2024,50,50,PO24000024,35451503MATEC,ד.ב קד מזדה 6 08-12,865.90,אושרה,
255001,02/10/2024,50,50,PO24000024,35451515MATEC,ד.ב אח מזדה 6 15+ קליפר חשמלי,711.21,אושרה,
255001,02/10/2024,50,50,PO24000024,35451528MATEC,ד.ב אח מזדה 6 13-14/אאוטלנדר 13+,599.90,אושרה,
255001,02/10/2024,50,50,PO24000024,35490887MATAC,ד.ב דק טיריטון מ20,807.42,אושרה,
255001,02/10/2024,50,50,PO24000024,35492424MATEC,ד.ב קד אקליפס 18+,948.90,אושרה,
255001,02/10/2024,50,50,PO24000024,35550705MATEC,ד.ב קד טידה 08+/ג'וק/4/SX4 דלתות,773.46,אושרה,
255001,02/10/2024,50,50,PO24000024,35551911MATEC,ד.ב אח קשקאי 14+/אקסטרייל 1.6 16+/קאדג'ר 16+,716.87,אושרה,
255001,02/10/2024,50,50,PO24000024,35620205MATEC,ד.ב אח 07 B3/+04 B4+/פורסטר 12 XV/+08+,596.13,אושרה,
255001,02/10/2024,50,50,PO24000024,35620405MATEC,ד.ב קד 17 XV+/פורסטר 19+/אימפרזה 18+,828.17,אושרה,
255001,02/10/2024,50,50,PO24000024,35640618MATEC,ד.ב אח ברלינגו 19+/פיקסו 3008/+14 17+,705.55,אושרה,
255001,02/10/2024,50,50,PO24000024,35681313MATEC,ד.ב אח סוויפט 11+/קרוסאובר/בלנו 16+/ויטרה 15+,584.81,אושרה,
255001,02/10/2024,50,50,PO24000024,35681616MATEC,ד.ב קד קרוסאובר 13+/ויטרה 1.6 15+,784.78,אושרה,
255001,02/10/2024,50,50,PO24000024,35820244MATEC,ד.ב קד אדג 08+/אאוטלנדר 18+/טריטון 20+,811.19,אושרה,
255001,02/10/2024,50,50,PO24000024,35821287MATAC,ד.ב אח פוקוס מ20/ אדג' מ17,728.18,אושרה,
255001,02/10/2024,50,50,PO24000024,35941963MATEC,ד.ב אח קנגו 08+,575.38,אושרה,
255001,02/10/2024,60,60,PO24000024,35370909MATEC,ד.ב אח יאריס 07+/סיוויק 12+,760.63,אושרה,
255001,02/10/2024,60,60,PO24000024,35451225MATEC,ד.ב קד מזדה 3 18+,1036.82,אושרה,
255001,02/10/2024,60,60,PO24000024,35641293MATEC,ד.ב אח ברלינגו 308/+08 08+/פרטנר 08+,781.01,אושרה,
