משפחה,תאור משפחה,שעות עבודה,מק'ט,תאור מוצר
0,משפחת מוצר כללית,,64490834SעלERMA,מ. מצמד תחתונה האנטר 07+
0,משפחת מוצר כללית,,64491232SעלERMA,מ. מצמד עליונה מגנום 4X4
0,משפחת מוצר כללית,,64491236SעלERMA,מ. מצמד תחתונה מגנום 4X4
0,משפחת מוצר כללית,,64550907SעלERMA,מ. מצמד עליונה טרנו 97+ 2112
0,משפחת מוצר כללית,,64550909SעלERMA,מ. מצמד עליונה טרנו עד 96 יציאה 1 למטה 2611
0,משפחת מוצר כללית,,64550911SעלERMA,מ. מצמד תחתונה טרנו / ווינר 3538
0,משפחת מוצר כללית,,64551738SעלERMA,מ. מצמד עליונה סרנה / לרגו
0,משפחת מוצר כללית,,64551740SעלERMA,מ. מצמד תחתונה סרנה / לרגו
0,משפחת מוצר כללית,,64900644SעלERMA,מ. מצמד עליונה סול
0,משפחת מוצר כללית,,64900946SעלERMA,מ. מצמד עליונה ספורטאג' עד 03
0,משפחת מוצר כללית,,64900950SעלERMA,מ. מצמד תחתונה ספורטאג' עד 03
0,משפחת מוצר כללית,,64901948SעלERMA,מ. מצמד עליונה ריו דיזל 05+
0,משפחת מוצר כללית,,64960235SעלERMA,מ. מצמד עליונה אוואו 04-09
0,משפחת מוצר כללית,,64960237SעלERMA,מ. מצמד תחתונה אוואו 04-09
0,משפחת מוצר כללית,,65260579SעלERMA,מ.ג ימין סיריון 05+ /  מטריה 05+
0,משפחת מוצר כללית,,65260581SעלERMA,מ.ג L סיריון + מטריה 05+ 4858
0,משפחת מוצר כללית,,65260583SעלERMA,מ.ג סיריון עד 04
0,משפחת מוצר כללית,,65310601SעלERMA,מ.ג ג'אז
0,משפחת מוצר כללית,,65310915SעלERMA,מ.ג R סיוויק 01+ 4497
0,משפחת מוצר כללית,,65310917SעלERMA,מ.ג R סיוויק 01+ 4498
0,משפחת מוצר כללית,,65370627SעלERMA,מ.ג הייאס 5510
0,משפחת מוצר כללית,,65370735SעלERMA,מ.ג היילוקס 4X4 5512
0,משפחת מוצר כללית,,65370839SעלERMA,מ.ג ויגו 4X4 5188
0,משפחת מוצר כללית,,65371553SעלERMA,מ.ג R קורולה עד 02 / קרינה עד 98 5114
0,משפחת מוצר כללית,,65371555SעלERMA,מ.ג L קורולה עד 02 / קרינה עד 98 5113
0,משפחת מוצר כללית,,65391377SעלERMA,מ.ג R אקסנט 00+ / גטס / אטוס 98+ 4070
0,משפחת מוצר כללית,,65391379SעלERMA,מ.ג L אקסנט 00+ / גטס / אטוס 98+ 4071
0,משפחת מוצר כללית,,65391381SעלERMA,מ.ג R אקסנט עד 99 5105
0,משפחת מוצר כללית,,65391383SעלERMA,מ.ג L אקסנט עד 99 5106
0,משפחת מוצר כללית,,65450313SעלERMA,מ.ג מזדה B2500 4X4 + 4X2 00+ BT50 דיזל 07+
0,משפחת מוצר כללית,,65451025SעלERMA,מ.ג לנטיס 5537
0,משפחת מוצר כללית,,65451127SעלERMA,מ.ג מזדה 2 08+ / מיצובישי לנסר 12 שסתומים
0,משפחת מוצר כללית,,65451335SעלERMA,מ.ג מזדה 323 / קיה ריו עד 00 / שומה 4169
0,משפחת מוצר כללית,,65490843SעלERMA,מ.ג האנטר 07-14 5246
0,משפחת מוצר כללית,,65490945SעלERMA,מ.ג כריזמה בנזין / אטרג 2.1 / ספייס סטאר 5154
0,משפחת מוצר כללית,,65491055SעלERMA,מ.ג  לנסר 00+ / סופר לנסר עד 99 / גלנט עד 92 5526
0,משפחת מוצר כללית,,65491259SעלERMA,מ.ג L מגנום 4X4 / מגה מגנום / 400-L 5528
0,משפחת מוצר כללית,,65550567SעלERMA,מ.ג ווינר 4X4 / פאת פיינדר 5568
